Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.3-10.0.0.4-50013-443-6,10.0.0.3,50013,10.0.0.4,443,6,16/10/2024 06:50:46 AM,80156,5,3,177.0,1298.0,177.0,0.0,35.4,79.15680640349255,1298.0,0.0,432.6666666666667,749.4006494081343,18401.61684714806,99.80537950995559,11450.857142857141,27854.290067112768,74533.0,11.0,80156.0,20039.0,36382.32566324845,74533.0,284.0,5096.0,2548.0,2241.528496361356,4133.0,963.0,0,0,0,0,112,72,62.37836219372224,37.42701731623334,0.0,1298.0,163.88888888888889,429.3013057412138,184299.61111111112,1,2,0,2,7,0,0,0,0.0,184.375,35.4,432.6666666666667,0,0,0,0,0,0,0,22,0,162,65535,501,1,20,0,0,0,0,1.7290614464025398E15,1979.203991731377,1.729061446405996E15,1.729061446401195E15,No Label
10.0.0.3-10.0.0.4-50018-80-6,10.0.0.3,50018,10.0.0.4,80,6,16/10/2024 06:50:56 AM,10600,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,56981.132075471694,660.377358490566,1766.6666666666667,3233.6575988602544,8266.0,0.0,895.0,447.5,632.86056916196,895.0,0.0,10571.0,3523.666666666667,4113.784915784166,8266.0,916.0,0,0,0,0,72,92,283.0188679245283,377.35849056603774,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.7290614565170652E15,4293.922496332914,1.729061456523476E15,1.729061456514344E15,No Label
10.0.0.3-10.0.0.4-50018-80-6,10.0.0.3,50018,10.0.0.4,80,6,16/10/2024 06:50:56 AM,173,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11560.693641618496,173.0,0.0,173.0,173.0,173.0,173.0,0.0,173.0,173.0,0,0,0,0,0,0,0,0,0,40,0,11560.693641618496,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,8210,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.4-50019-80-6,10.0.0.3,50019,10.0.0.4,80,6,16/10/2024 06:50:56 AM,21263,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,28406.1515308282,329.2103654235056,3543.833333333333,5254.793865287836,11692.0,9.0,821.0,410.5,16.263455967290593,422.0,399.0,21226.0,7075.333333333334,5637.187626231128,11692.0,793.0,0,0,0,0,72,92,141.09015661007382,188.1202088134318,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.7290614565430035E15,4572.4326161807885,1.729061456549862E15,1.729061456540685E15,No Label
10.0.0.3-10.0.0.4-50019-80-6,10.0.0.3,50019,10.0.0.4,80,6,16/10/2024 06:50:56 AM,258,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7751.937984496125,258.0,0.0,258.0,258.0,258.0,258.0,0.0,258.0,258.0,0,0,0,0,0,0,0,0,0,40,0,7751.937984496125,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.4-50020-80-6,10.0.0.3,50020,10.0.0.4,80,6,16/10/2024 06:50:56 AM,22131,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,27292.033798743843,316.2984049523293,3688.5,6926.233370310302,17618.0,0.0,3029.0,1514.5,2141.8264402140526,3029.0,0.0,22105.0,7368.333333333334,8912.583931348603,17618.0,1442.0,0,0,0,0,72,92,135.556459265284,180.7419456870453,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.7290614565871998E15,9414.530603691679,1.72906145660116E15,1.729061456580539E15,No Label
10.0.0.3-10.0.0.4-50020-80-6,10.0.0.3,50020,10.0.0.4,80,6,16/10/2024 06:50:56 AM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.4-50017-443-6,10.0.0.3,50017,10.0.0.4,443,6,16/10/2024 06:50:56 AM,113287,5,3,177.0,1298.0,177.0,0.0,35.4,79.15680640349255,1298.0,0.0,432.6666666666667,749.4006494081343,13020.02877647038,70.61710522831393,16183.857142857143,40354.7228563092,107653.0,0.0,113287.0,28321.75,52922.69754005994,107653.0,0.0,4794.0,2397.0,1798.8796513385769,3669.0,1125.0,0,0,0,0,112,72,44.135690767696204,26.481414460617724,0.0,1298.0,163.88888888888889,429.3013057412138,184299.61111111112,1,2,0,2,7,0,0,0,0.0,184.375,35.4,432.6666666666667,0,0,0,0,0,0,0,22,0,162,65535,501,1,20,0,0,0,0,1.7290614564990445E15,1798.3561382551566,1.729061456502017E15,1.729061456497275E15,No Label
10.0.0.3-10.0.0.4-50021-80-6,10.0.0.3,50021,10.0.0.4,80,6,16/10/2024 06:50:56 AM,1656,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2415.458937198068,552.0,702.4806047144647,1350.0,27.0,1656.0,828.0,776.4032457428292,1377.0,279.0,0,0,0,0,0,0,0,0,0,72,32,1811.5942028985507,603.864734299517,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,64240,0,20,0,0,0,0,1.729061456622505E15,0.0,1.729061456622505E15,1.729061456622505E15,No Label
10.0.0.3-10.0.0.4-50022-443-6,10.0.0.3,50022,10.0.0.4,443,6,16/10/2024 06:50:56 AM,2897,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.738695201933,965.6666666666666,1067.7028300671182,2123.0,19.0,2897.0,1448.5,953.8870478206526,2123.0,774.0,0,0,0,0,0,0,0,0,0,72,32,1035.5540214014497,345.18467380048327,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,64240,0,20,0,0,0,0,1.72906145663626E15,0.0,1.72906145663626E15,1.72906145663626E15,No Label
